generation,best_f1,train_size
1,0.561239398665943,654590
2,0.5757695972475058,654590
3,0.6008648388381159,654590
4,0.6166604576761662,654590
5,0.6196089318406915,654590
6,0.6297348870815347,654590
7,0.6297348870815347,654590
8,0.6389437279342892,654590
9,0.6389437279342892,654590
10,0.6389437279342892,654590
11,0.6389437279342892,654590
12,0.6399716500231707,654590
13,0.6395776687284925,654590
14,0.6395776687284925,654590
15,0.6399716500231707,654590
16,0.6440514545497545,654590
17,0.6440514545497545,654590
18,0.6440514545497545,654590
19,0.6440514545497545,654590
20,0.6440514545497545,654590
21,0.6440514545497545,654590
22,0.6440514545497545,654590
23,0.6440514545497545,654590
24,0.6440514545497545,654590
25,0.6440514545497545,654590
26,0.6440514545497545,654590
27,0.6440514545497545,654590
28,0.6440514545497545,654590
29,0.6440514545497545,654590
30,0.6440514545497545,654590
