accuracy,precision,recall,f1,approach,train_time_sec,category,experiment_group,active_learning,max_tree_height,population_size,al_samples_per_round,al_interval,voting,ensemble_size
0.7015851095033242,0.5436049735671419,0.7889719559307483,0.6436987910492409,GA,296.04515624046326,prod,PROD,,,,,,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL,39.81072449684143,prod,PROD,,,,,,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL+EL (soft),39.81072449684143,prod,PROD,,,,,,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA variant - shallow trees (h=3),317.75766944885254,experiment,GA,False,3.0,,,,,
0.7244634825967932,0.5720487382648645,0.7683144942051796,0.6558122848397414,GA variant - larger population (x2),824.5850105285645,experiment,GA,False,,400.0,,,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL variant - aggressive sampling (x2),43.77745032310486,experiment,GA+AL,True,,,10000.0,,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL variant - conservative interval (x2),23.167201280593872,experiment,GA+AL,True,,,,4.0,,
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL+EL variant - hard voting,,experiment,GA+AL+EL,,,,,,hard,15.0
0.6946983770043019,0.5378142715509571,0.7567606238374589,0.6287726806651509,GA+AL+EL variant - weighted voting,,experiment,GA+AL+EL,,,,,,weighted,15.0
0.694704487680876,0.5369576828011079,0.7731971669766776,0.6337787616457635,GA+AL+EL variant - diversity voting,,experiment,GA+AL+EL,,,,,,diversity,15.0
