generation,best_f1,mean_f1,train_size
1,0.6295513533555803,0.4382312571979511,65459
2,0.6295513533555803,0.46757289908399763,70459
3,0.6295513533555803,0.48208216795345515,70459
4,0.6295513533555803,0.48058880850543306,75459
5,0.6295513533555803,0.49638634995856984,75459
6,0.6295513533555803,0.484351572106486,80459
7,0.6295513533555803,0.4726182219796105,80459
8,0.6295513533555803,0.4371253498948413,85459
9,0.6295513533555803,0.49405744888844055,85459
10,0.6295513533555803,0.47961886661567443,90459
11,0.6295513533555803,0.4644986312309217,90459
12,0.6295513533555803,0.45826480842668543,95459
13,0.6295513533555803,0.4625266631663198,95459
14,0.6295513533555803,0.43023312355159715,100459
15,0.6295513533555803,0.4651179028623582,100459
16,0.6295513533555803,0.42600536122108124,105459
17,0.6295513533555803,0.47687733829053264,105459
18,0.6295513533555803,0.4685972476043847,110459
19,0.6295513533555803,0.44774707483517084,110459
20,0.6295513533555803,0.46650953477336565,115459
21,0.6295513533555803,0.4910269797047447,115459
22,0.6295513533555803,0.40742935269333375,120459
23,0.6295513533555803,0.4475953076188168,120459
24,0.6295513533555803,0.4574819509081468,125459
25,0.6295513533555803,0.4443735495864435,125459
26,0.6295513533555803,0.4296560963007762,130459
27,0.6295513533555803,0.4599415355585852,130459
28,0.6295513533555803,0.446435743387582,135459
29,0.6295513533555803,0.4624340646230951,135459
30,0.6295513533555803,0.40157793296327937,140459
