generation,best_f1,mean_f1,train_size
1,0.5515284396276279,0.4017143983874144,654590
2,0.6166604576761662,0.4434336012363355,654590
3,0.6166604576761662,0.4604063345554461,654590
4,0.6166604576761662,0.48135561240922586,654590
5,0.6166604576761662,0.482186412955695,654590
6,0.6166604576761662,0.5053889346687336,654590
7,0.6191051032246038,0.4930378978362694,654590
8,0.6297348870815347,0.5029057638169556,654590
9,0.6297348870815347,0.5371612007254792,654590
10,0.6297348870815347,0.5135191035021104,654590
11,0.6297348870815347,0.4932096174889138,654590
12,0.6297348870815347,0.5239362396698719,654590
13,0.6315342391793395,0.5095616307768137,654590
14,0.6315342391793395,0.526326920964283,654590
15,0.6315342391793395,0.5388409894369312,654590
16,0.6315342391793395,0.5259871382223616,654590
17,0.6378481949218942,0.5278569138389336,654590
18,0.6378481949218942,0.5485235560644551,654590
19,0.6378481949218942,0.532596207750051,654590
20,0.6389437279342892,0.5648787093860386,654590
21,0.6389437279342892,0.5557325946076478,654590
22,0.6389437279342892,0.5610855271603857,654590
23,0.6389437279342892,0.5559082389044652,654590
24,0.6389437279342892,0.5680445911863823,654590
25,0.6399716500231707,0.5784673655979147,654590
26,0.6399716500231707,0.5769881732552511,654590
27,0.6399716500231707,0.5736744350475003,654590
28,0.6411013611299393,0.5857813244883358,654590
29,0.6411013611299393,0.5752378889895136,654590
30,0.6414319677964198,0.5951042989903373,654590
