generation,best_f1,mean_f1,train_size
1,0.6295513533555803,0.4382312571979511,65459
2,0.6295513533555803,0.4679035750656964,70459
3,0.6295513533555803,0.4816092694229106,70459
4,0.6295513533555803,0.4957120336545095,75459
5,0.6295513533555803,0.47413096181403624,75459
6,0.6295513533555803,0.501032068112518,80459
7,0.6295513533555803,0.4731725497768874,80459
8,0.6295513533555803,0.43792179501976236,85459
9,0.6295513533555803,0.4409301342633158,85459
10,0.6295513533555803,0.4261557724700216,90459
11,0.6295513533555803,0.46057031495472683,90459
12,0.6295513533555803,0.4729251814327753,95459
13,0.6295513533555803,0.4584117857699972,95459
14,0.6295513533555803,0.4376184175163961,100459
15,0.6295513533555803,0.4702319094952414,100459
16,0.6295513533555803,0.41961768450383813,105459
17,0.6295513533555803,0.47020723413977195,105459
18,0.6295513533555803,0.43733724897701703,110459
19,0.6295513533555803,0.43233329782601987,110459
20,0.6295513533555803,0.4607642977278262,115459
21,0.6295513533555803,0.4606504592049934,115459
22,0.6295513533555803,0.42913632247973,120459
23,0.6295513533555803,0.43803732756852637,120459
24,0.6295513533555803,0.44031586307968057,125459
25,0.6295513533555803,0.4324264222424774,125459
26,0.6295513533555803,0.4443247678164661,130459
27,0.6295513533555803,0.4189684533635533,130459
28,0.6295513533555803,0.44981023668515663,135459
29,0.6295513533555803,0.45576247693065625,135459
30,0.6295513533555803,0.4195820059044867,140459
